Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
208840291,The Serviceberry: Abundance and Reciprocity in the Natural World,Robin Wall Kimmerer,"Kimmerer, Robin Wall",John Burgoyne,"=""1668072246""","=""9781668072240""",0,4.32,Scribner,Hardcover,112,2024,2024,2025/11/05,2024/08/23,physical-tbr,physical-tbr (#83),read,,,,1,0
6398634,The Happiness Project,Gretchen Rubin,"Rubin, Gretchen",,"=""0061583251""","=""9780061583254""",0,3.65,Harper,Hardcover,301,2009,2009,,2025/11/04,,,read,,,,1,0
222828632,Discontent,Beatriz Serrano,"Serrano, Beatriz",Mara Faye Lethem,"=""""","=""9798217006779""",0,3.91,Vintage,Kindle Edition,181,2025,2023,,2025/11/02,to-read,to-read (#535),to-read,,,,0,0
228256271,"Mate (Bride, #2)",Ali Hazelwood,"Hazelwood, Ali",,"=""0593955013""","=""9780593955017""",4,4.20,Berkley,Hardcover,457,2025,2025,2025/11/02,2025/02/26,,,read,,,,1,0
236746136,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158717""","=""9780593158715""",0,4.35,Ballantine Books,Hardcover,352,2025,2025,,2025/11/02,to-read,to-read (#534),to-read,,,,0,0
75561006,Living Resistance: An Indigenous Vision for Seeking Wholeness Every Day,Kaitlin B. Curtice,"Curtice, Kaitlin B.",,"=""1587435713""","=""9781587435713""",0,4.14,Brazos Press,Hardcover,208,2023,,,2025/11/01,to-read,to-read (#533),to-read,,,,0,0
221996622,"A Steady Brightness of Being: Truths, Wisdom, and Love from Celebrated Indigenous Voices",Sara Sinclair,"Sinclair, Sara",Stephanie Sinclair,"=""0735250367""","=""9780735250369""",0,4.40,Penguin Canada,Hardcover,192,2025,,,2025/11/01,to-read,to-read (#532),to-read,,,,0,0
220165542,Mapping the Interior,Stephen Graham Jones,"Jones, Stephen Graham",,"=""1250406021""","=""9781250406026""",0,3.60,Tor Nightfire,Paperback,112,2025,2017,,2025/10/25,"to-read, november-tbr","to-read (#528), november-tbr (#2)",to-read,,,,0,0
182777376,A Witch's Guide to Magical Innkeeping,Sangu Mandanna,"Mandanna, Sangu",,"=""0593439384""","=""""",0,3.99,Berkley,Kindle Edition,336,2025,2025,,2025/07/07,"to-read, fall-reads, physical-tbr, november-tbr","to-read (#494), fall-reads (#3), physical-tbr (#92), november-tbr (#1)",to-read,,,,0,0
228110489,Heart the Lover,Lily King,"King, Lily",,"=""0802165176""","=""9780802165176""",0,4.42,Grove Press,Hardcover,256,2025,2025,,2025/10/31,"to-read, physical-tbr","to-read (#531), physical-tbr (#99)",to-read,,,,0,0
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,"=""1982198788""","=""9781982198787""",0,3.63,Atria/Emily Bestler Books,Hardcover,312,2024,2024,,2025/10/27,to-read,to-read (#530),to-read,,,,0,0
223001257,The Correspondent,Virginia      Evans,"Evans, Virginia",,"=""0593798430""","=""9780593798430""",0,4.57,Crown,Hardcover,304,2025,2025,,2025/10/27,to-read,to-read (#529),to-read,,,,0,0
84981,Tuck Everlasting,Natalie Babbitt,"Babbitt, Natalie",,"=""0374480095""","=""9780374480097""",0,3.91,"Farrar, Straus and Giroux (BYR)",Paperback,148,1985,1975,2025/10/25,2025/03/31,physical-tbr,physical-tbr (#95),read,,,,1,0
222279220,"Good Spirits (Ghosted, #1)",B.K. Borison,"Borison, B.K.",,"=""0063430401""","=""9780063430402""",0,4.37,Avon,Paperback,384,2025,2025,,2025/10/24,to-read,to-read (#527),to-read,,,,0,0
113877384,Sipsworth,Simon Van Booy,"Booy, Simon Van",,"=""1567927947""","=""9781567927948""",0,4.14,"David R. Godine, Publisher",Hardcover,240,2024,2024,,2025/10/13,"currently-reading, physical-tbr","currently-reading (#2), physical-tbr (#98)",currently-reading,,,,1,0
240019805,Meet Me in the Garden,Nina LaCour,"LaCour, Nina",,"=""1250810477""","=""9781250810472""",0,5.00,Flatiron Books,Hardcover,400,2026,2026,,2025/10/01,to-read,to-read (#526),to-read,,,,0,0
33503607,Meet Cute: Some People Are Destined to Meet,Jennifer L. Armentrout,"Armentrout, Jennifer L.","Dhonielle Clayton, Katie Cotugno, Jocelyn Davies, Nina LaCour, Emery Lord, Katharine McGee, Kass Morgan, Meredith Russo, Sara Shepard, Nicola Yoon, Ibi Zoboi, Julie   Murphy","=""1328759873""","=""9781328759870""",0,3.57,HMH Books for Young Readers,Hardcover,314,2018,2018,,2025/10/01,to-read,to-read (#525),to-read,,,,0,0
199269577,"The Spellshop (Spellshop, #1)",Sarah Beth Durst,"Durst, Sarah Beth",,"=""""","=""""",0,4.02,Bramble,Hardcover,384,2024,2024,,2024/09/07,"25-in-25, physical-tbr, fall-reads, currently-reading","25-in-25 (#14), physical-tbr (#68), fall-reads (#11), currently-reading (#1)",currently-reading,,,,1,0
55977956,Loveless,Alice Oseman,"Oseman, Alice",,"=""133875193X""","=""9781338751932""",2,4.17,Scholastic Press,Hardcover,432,2022,2020,2025/09/29,2022/08/23,25-in-25,25-in-25 (#12),read,2.5,,,1,0
240581511,Hot for Slayer,Ali Hazelwood,"Hazelwood, Ali",,"=""166252840X""","=""9781662528408""",0,3.89,Amazon Original Stories,ebook,94,2025,2025,,2025/09/27,to-read,to-read (#524),to-read,,,,0,0
217513554,"And Now, Back to You (Heartstrings, #2)",B.K. Borison,"Borison, B.K.",,"=""""","=""""",0,4.47,,Paperback,,2026,2026,,2025/09/23,to-read,to-read (#523),to-read,,,,0,0
58842731,The Lesbiana's Guide to Catholic School,Sonora Reyes,"Reyes, Sonora",,"=""006306023X""","=""9780063060234""",0,4.24,HarperCollins,Hardcover,385,2022,2022,,2024/12/17,"to-read, physical-tbr","to-read (#409), physical-tbr (#97)",to-read,,,,0,0
60568471,"Before I Let Go (Skyland, #1)",Kennedy Ryan,"Ryan, Kennedy",,"=""1538706792""","=""9781538706794""",0,4.33,Forever,Paperback,391,2022,2022,,2025/01/19,"to-read, physical-tbr","to-read (#442), physical-tbr (#96)",to-read,,,,0,0
37732,"Are You There God? It’s Me, Margaret",Judy Blume,"Blume, Judy",,"=""0689841582""","=""9780689841583""",0,3.95,Richard Jackson/Athaneum Books for Young Readers,Hardcover,149,2001,1970,,2025/03/31,"to-read, physical-tbr","to-read (#460), physical-tbr (#94)",to-read,,,,0,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",0,4.20,Ballantine Books,Hardcover,368,2019,2019,,2025/07/05,"to-read, physical-tbr","to-read (#493), physical-tbr (#93)",to-read,,,,0,0
26030734,"The Wild Robot (The Wild Robot, #1)",Peter  Brown,"Brown, Peter",,"=""0316381993""","=""9780316381994""",0,4.21,"Little, Brown Books for Young Readers",Hardcover,282,2016,2016,,2025/07/19,"to-read, physical-tbr","to-read (#514), physical-tbr (#91)",to-read,,,,1,0
227948535,"Tender Cruelty (Dark Olympus, #9)",Katee Robert,"Robert, Katee",,"=""1728284783""","=""9781728284781""",0,4.09,Sourcebooks Casablanca,Paperback,304,2025,2025,,2025/09/15,to-read,to-read (#522),to-read,,,,0,0
123901,Little Cloud,Eric Carle,"Carle, Eric",,"=""0698118308""","=""9780698118300""",0,3.94,World of Eric Carle,Paperback,32,2001,1996,,2025/09/13,,,read,,,,1,0
3194431,Goodnight Goon: a Petrifying Parody,Michael Rex,"Rex, Michael",,"=""0399245340""","=""9780399245343""",0,4.10,G.P. Putnam's Sons Books for Young Readers,Hardcover,32,2008,2008,,2025/09/13,,,read,,,,1,0
228101,"Chicka Chicka 1, 2, 3",Bill Martin Jr.,"Jr., Bill Martin","Michael Sampson, Lois Ehlert","=""0689858817""","=""9780689858819""",0,4.15,Simon & Schuster Books for Young Readers,Hardcover,40,2004,2004,,2025/09/13,,,read,,,,1,0
631931,Mister Seahorse,Eric Carle,"Carle, Eric",,"=""0140569898""","=""9780140569896""",0,4.07,Puffin Bks,Hardcover,34,2006,2004,,2025/09/13,,,read,,,,1,0
35738079,Pink Is for Boys,Robb Pearlman,"Pearlman, Robb",Eda Kaban,"=""""","=""""",0,4.05,Running Press,Hardcover,40,2018,2018,,2025/09/13,,,read,,,,1,0
7531219,Dancing Feet!,Lindsey Craig,"Craig, Lindsey",Marc Brown,"=""0375861815""","=""9780375861819""",0,4.00,Knopf Books for Young Readers,Hardcover,26,2010,2010,,2025/09/13,,,read,,,,1,0
55660774,The Leaf Thief,Alice Hemming,"Hemming, Alice",Nicola Slater,"=""0702303208""","=""9780702303203""",0,4.19,Scholastic ,Hardcover,32,2020,2020,,2025/09/13,,,read,,,,1,0
